Transaction_ID,Date,Client_ID,Account_Number,Transaction_Type,Amount,Currency,Exchange_Rate,Amount_in_USD,Client_Sector,Client_Industry,Region,Country,City,Branch_Code,Transaction_Status,Employee_ID,Employee_Role,Risk_Score,Fraud_Flag,Approval_Status,Settlement_Date,Maturity_Date,Interest_Rate,Collateral_Type,Loan_Type,Purpose
384,2024-01-19,2154,8265406,Deposit,674165.06,USD,0.5697,384071.83,Corporate,Manufacturing,North America,USA,New York,402,Pending,100,Manager,0.201,0,Approved,2024-01-20,2025-01-18,0.035,Bonds,Short-term,Equipment Purchase
385,2024-01-20,1403,5813673,Withdrawal,847040.34,GBP,0.5582,472817.92,SME,Technology,Asia,USA,Tokyo,983,Failed,854,Associate,0.447,0,Pending,2024-01-21,2025-01-19,0.036,Bonds,Short-term,Equipment Purchase
386,2024-01-21,3199,5755469,Deposit,325005.05,EUR,1.427,463782.21,Retail,Healthcare,North America,USA,New York,769,Failed,480,Manager,0.956,0,Approved,2024-01-22,2025-01-20,0.031,Bonds,Revolving,Debt Refinancing
387,2024-01-22,3101,8551989,Payment,676807.27,JPY,1.1485,777313.15,SME,Technology,Europe,Brazil,Tokyo,720,Pending,927,Director,0.723,1,Rejected,2024-01-23,2025-01-21,0.023,Stocks,Installment,Working Capital
388,2024-01-23,4191,5335702,Deposit,594647.59,EUR,0.8796,523052.02,Retail,Technology,Europe,Germany,Tokyo,620,Failed,636,Associate,0.828,0,Rejected,2024-01-24,2025-01-22,0.043,Bonds,Short-term,Debt Refinancing
389,2024-01-24,2696,8974411,Payment,603546.97,USD,1.2551,757511.8,SME,Healthcare,South America,Japan,Sao Paulo,420,Failed,958,Director,0.277,0,Rejected,2024-01-25,2025-01-23,0.071,Stocks,Long-term,Working Capital
390,2024-01-25,4991,3962732,Transfer,682849.93,GBP,1.1723,800504.97,Retail,Manufacturing,South America,Japan,Tokyo,158,Pending,493,Manager,0.684,0,Rejected,2024-01-26,2025-01-24,0.077,Property,Long-term,Equipment Purchase
391,2024-01-26,1627,2992825,Transfer,575783.81,USD,1.0312,593748.26,Retail,Technology,Asia,Japan,Berlin,457,Failed,149,Associate,0.862,0,Pending,2024-01-27,2025-01-25,0.083,None,Long-term,Business Expansion
392,2024-01-27,1586,4832978,Transfer,429633.31,JPY,0.5989,257307.39,SME,Technology,Asia,Japan,Berlin,803,Failed,495,Director,0.479,1,Approved,2024-01-28,2025-01-26,0.028,None,Revolving,Working Capital
393,2024-01-28,2648,7152941,Withdrawal,276646.77,EUR,1.3122,363015.89,SME,Technology,Europe,USA,New York,747,Completed,959,Analyst,0.43,0,Rejected,2024-01-29,2025-01-27,0.013,Stocks,Short-term,Business Expansion
394,2024-01-29,2443,5115811,Withdrawal,768812.75,EUR,1.366,1050198.22,SME,Manufacturing,Europe,Brazil,New York,350,Failed,852,Director,0.719,1,Rejected,2024-01-30,2025-01-28,0.098,Stocks,Installment,Equipment Purchase
395,2024-01-30,2445,9983212,Payment,227046.16,USD,0.6722,152620.43,Retail,Technology,Europe,Brazil,Berlin,990,Completed,131,Associate,0.56,0,Approved,2024-01-31,2025-01-29,0.011,Stocks,Short-term,Business Expansion
396,2024-01-31,1103,4174108,Transfer,692661.95,USD,1.3505,935439.96,Corporate,Finance,Asia,Japan,New York,535,Pending,644,Analyst,0.993,1,Approved,2024-02-01,2025-01-30,0.096,Property,Installment,Business Expansion
397,2024-02-01,4923,3731638,Withdrawal,234099.49,JPY,1.3778,322542.28,Corporate,Healthcare,Europe,Japan,New York,245,Completed,811,Manager,0.425,0,Approved,2024-02-02,2025-01-31,0.085,Property,Installment,Debt Refinancing
398,2024-02-02,1253,1264500,Transfer,625704.84,GBP,1.0494,656614.66,SME,Finance,Asia,Germany,Berlin,958,Pending,333,Manager,0.176,0,Approved,2024-02-03,2025-02-01,0.092,Bonds,Short-term,Business Expansion
399,2024-02-03,4298,3976031,Withdrawal,747331.19,JPY,1.1562,864064.32,Corporate,Manufacturing,Europe,Germany,Berlin,451,Completed,125,Director,0.472,0,Approved,2024-02-04,2025-02-02,0.045,Bonds,Long-term,Equipment Purchase
400,2024-02-04,4183,7512427,Deposit,219495.18,GBP,0.8822,193638.65,Corporate,Technology,North America,Germany,Berlin,669,Completed,653,Manager,0.235,0,Pending,2024-02-05,2025-02-03,0.028,None,Long-term,Working Capital
401,2024-02-05,3557,3903633,Deposit,60883.36,EUR,0.7818,47598.61,SME,Healthcare,North America,USA,Sao Paulo,788,Completed,533,Director,0.561,1,Approved,2024-02-06,2025-02-04,0.065,Bonds,Installment,Business Expansion
402,2024-02-06,2496,6711813,Transfer,131842.77,GBP,1.222,161111.86,Retail,Technology,Europe,Brazil,Sao Paulo,899,Failed,160,Director,0.126,1,Pending,2024-02-07,2025-02-05,0.077,Property,Long-term,Working Capital
403,2024-02-07,1098,2940369,Payment,606390.97,GBP,1.3619,825843.86,SME,Manufacturing,North America,USA,Berlin,344,Failed,652,Director,0.95,0,Approved,2024-02-08,2025-02-06,0.022,Property,Revolving,Debt Refinancing
404,2024-02-08,3200,4948242,Withdrawal,849596.96,EUR,1.1541,980519.85,Corporate,Healthcare,Asia,USA,Tokyo,659,Failed,540,Director,0.86,0,Approved,2024-02-09,2025-02-07,0.082,Property,Revolving,Equipment Purchase
405,2024-02-09,2884,9127125,Withdrawal,45951.82,EUR,1.0116,46484.86,Retail,Finance,South America,Brazil,Berlin,400,Failed,229,Associate,0.156,1,Rejected,2024-02-10,2025-02-08,0.029,Property,Installment,Equipment Purchase
406,2024-02-10,3961,2217060,Deposit,734417.11,EUR,0.6589,483907.43,Corporate,Healthcare,North America,Germany,Sao Paulo,537,Failed,966,Associate,0.172,1,Rejected,2024-02-11,2025-02-09,0.054,None,Long-term,Working Capital
407,2024-02-11,2919,2031519,Deposit,341977.33,JPY,0.5535,189284.45,Retail,Technology,South America,Brazil,New York,967,Completed,453,Analyst,0.512,1,Rejected,2024-02-12,2025-02-10,0.087,None,Installment,Equipment Purchase
408,2024-02-12,1877,5678714,Payment,479049.84,EUR,0.9457,453037.43,Corporate,Healthcare,North America,Japan,Tokyo,199,Failed,297,Analyst,0.773,0,Rejected,2024-02-13,2025-02-11,0.027,Property,Revolving,Debt Refinancing
409,2024-02-13,1337,9109698,Payment,928930.69,USD,0.5493,510261.63,SME,Manufacturing,Asia,Germany,Tokyo,824,Pending,898,Manager,0.219,1,Rejected,2024-02-14,2025-02-12,0.032,Stocks,Revolving,Working Capital
410,2024-02-14,4777,2390281,Payment,332639.53,EUR,1.0693,355691.45,Corporate,Manufacturing,North America,Brazil,New York,913,Completed,762,Associate,0.061,0,Rejected,2024-02-15,2025-02-13,0.016,Bonds,Revolving,Equipment Purchase
411,2024-02-15,3869,4941106,Transfer,465871.6,EUR,0.8827,411224.86,Corporate,Healthcare,North America,USA,Tokyo,579,Completed,815,Analyst,0.546,0,Approved,2024-02-16,2025-02-14,0.023,None,Short-term,Debt Refinancing
412,2024-02-16,4234,3322466,Deposit,14668.73,EUR,1.2572,18441.53,Retail,Manufacturing,Europe,Brazil,New York,514,Pending,793,Associate,0.692,1,Approved,2024-02-17,2025-02-15,0.023,Stocks,Revolving,Debt Refinancing
413,2024-02-17,4791,8778748,Transfer,82517.12,GBP,0.8056,66475.79,Corporate,Manufacturing,South America,Germany,Sao Paulo,264,Failed,470,Associate,0.244,0,Rejected,2024-02-18,2025-02-16,0.028,Bonds,Long-term,Business Expansion
414,2024-02-18,1956,9099932,Deposit,259333.0,JPY,1.093,283450.97,SME,Manufacturing,South America,Japan,Tokyo,737,Pending,818,Manager,0.74,0,Rejected,2024-02-19,2025-02-17,0.036,Stocks,Short-term,Equipment Purchase
415,2024-02-19,2704,2851317,Deposit,28824.39,EUR,1.0377,29911.07,SME,Finance,Asia,USA,Tokyo,401,Completed,246,Manager,0.951,1,Rejected,2024-02-20,2025-02-18,0.083,Property,Revolving,Working Capital
416,2024-02-20,1160,2946830,Withdrawal,631743.95,JPY,0.5047,318841.17,SME,Technology,Asia,Japan,New York,220,Completed,815,Director,0.137,0,Approved,2024-02-21,2025-02-19,0.092,Bonds,Long-term,Business Expansion
417,2024-02-21,2603,3614150,Deposit,426971.96,USD,0.5724,244398.75,Retail,Manufacturing,South America,Japan,New York,187,Completed,597,Associate,0.511,1,Rejected,2024-02-22,2025-02-20,0.047,Stocks,Revolving,Working Capital
418,2024-02-22,3848,8238987,Deposit,548597.06,USD,0.7904,433611.12,Retail,Healthcare,Europe,USA,Sao Paulo,316,Pending,147,Director,0.057,1,Rejected,2024-02-23,2025-02-21,0.022,None,Long-term,Business Expansion
419,2024-02-23,1397,5660061,Transfer,175472.54,EUR,1.3822,242538.14,Corporate,Manufacturing,Europe,Brazil,New York,672,Failed,869,Director,0.207,1,Approved,2024-02-24,2025-02-22,0.03,None,Long-term,Debt Refinancing
420,2024-02-24,2300,3605214,Deposit,296636.1,USD,0.647,191923.56,Corporate,Finance,South America,Brazil,New York,913,Completed,750,Director,0.09,0,Approved,2024-02-25,2025-02-23,0.076,None,Revolving,Business Expansion
421,2024-02-25,1815,8923641,Transfer,664160.65,JPY,1.2109,804232.13,Corporate,Healthcare,North America,Japan,Sao Paulo,278,Failed,271,Associate,0.404,1,Pending,2024-02-26,2025-02-24,0.071,Bonds,Revolving,Business Expansion
422,2024-02-26,4987,3229180,Payment,965337.42,GBP,1.4734,1422328.15,Retail,Technology,South America,Brazil,Berlin,801,Completed,712,Associate,0.821,1,Rejected,2024-02-27,2025-02-25,0.097,Property,Short-term,Business Expansion
423,2024-02-27,2527,5188891,Deposit,51366.36,EUR,1.2906,66293.42,Retail,Healthcare,North America,Germany,Berlin,262,Failed,798,Director,0.577,0,Approved,2024-02-28,2025-02-26,0.011,Property,Revolving,Equipment Purchase
424,2024-02-28,2919,5031419,Deposit,890493.94,USD,0.7429,661547.95,Corporate,Healthcare,South America,Japan,New York,692,Pending,995,Associate,0.223,0,Pending,2024-02-29,2025-02-27,0.078,Bonds,Long-term,Business Expansion
425,2024-02-29,2415,5495511,Transfer,577304.32,JPY,1.4084,813075.4,Retail,Healthcare,North America,Japan,Sao Paulo,269,Completed,414,Director,0.04,1,Approved,2024-03-01,2025-02-28,0.056,Bonds,Installment,Debt Refinancing
426,2024-03-01,2158,2424945,Payment,564355.65,JPY,0.5931,334719.34,Retail,Healthcare,Europe,Japan,Berlin,400,Completed,475,Analyst,0.553,0,Pending,2024-03-02,2025-03-01,0.091,Property,Short-term,Working Capital
427,2024-03-02,2218,3363999,Withdrawal,500778.26,USD,0.9681,484803.43,SME,Manufacturing,South America,Germany,Sao Paulo,473,Completed,905,Associate,0.133,0,Pending,2024-03-03,2025-03-02,0.062,None,Long-term,Equipment Purchase
428,2024-03-03,1400,5790691,Payment,70324.69,JPY,1.3875,97575.51,SME,Technology,Asia,Japan,New York,807,Pending,974,Manager,0.343,0,Rejected,2024-03-04,2025-03-03,0.05,Property,Long-term,Debt Refinancing
429,2024-03-04,1639,9807673,Transfer,90786.97,JPY,1.1413,103615.17,Corporate,Manufacturing,North America,Brazil,New York,302,Pending,632,Manager,0.51,0,Rejected,2024-03-05,2025-03-04,0.07,Property,Installment,Equipment Purchase
430,2024-03-05,4104,5225889,Payment,601311.09,EUR,0.9136,549357.81,Corporate,Finance,Europe,Brazil,Sao Paulo,146,Failed,909,Director,0.904,0,Pending,2024-03-06,2025-03-05,0.085,Stocks,Revolving,Working Capital
431,2024-03-06,3735,4092195,Transfer,341617.61,JPY,0.7928,270834.44,SME,Finance,Asia,Brazil,Tokyo,562,Pending,519,Analyst,0.082,1,Rejected,2024-03-07,2025-03-06,0.035,None,Long-term,Working Capital
432,2024-03-07,1459,1289102,Transfer,917350.8,USD,0.8751,802773.69,Retail,Healthcare,Europe,Brazil,New York,769,Completed,495,Associate,0.669,1,Approved,2024-03-08,2025-03-07,0.02,Bonds,Installment,Working Capital
433,2024-03-08,1954,5443778,Withdrawal,407183.95,EUR,1.0089,410807.89,Corporate,Manufacturing,North America,Japan,New York,507,Failed,621,Director,0.014,1,Approved,2024-03-09,2025-03-08,0.049,Property,Installment,Equipment Purchase
434,2024-03-09,4954,9043756,Deposit,144138.18,USD,0.819,118049.17,Corporate,Manufacturing,South America,Germany,New York,293,Pending,286,Analyst,0.63,0,Pending,2024-03-10,2025-03-09,0.029,None,Revolving,Equipment Purchase
435,2024-03-10,1469,5162065,Transfer,715004.11,GBP,1.469,1050341.04,Corporate,Technology,Europe,USA,New York,526,Failed,744,Analyst,0.552,0,Pending,2024-03-11,2025-03-10,0.049,Bonds,Installment,Working Capital
436,2024-03-11,4446,1260116,Transfer,294060.07,USD,1.4331,421417.49,Retail,Technology,South America,Brazil,Sao Paulo,890,Failed,132,Associate,0.812,1,Approved,2024-03-12,2025-03-11,0.099,Stocks,Installment,Working Capital
437,2024-03-12,2045,7086368,Withdrawal,525944.84,USD,1.3707,720912.59,SME,Technology,South America,USA,Sao Paulo,416,Failed,168,Manager,0.532,1,Approved,2024-03-13,2025-03-12,0.062,Stocks,Installment,Debt Refinancing
438,2024-03-13,3797,5214279,Transfer,698134.95,EUR,0.9218,643540.8,Corporate,Manufacturing,Europe,USA,Sao Paulo,578,Completed,691,Manager,0.353,1,Pending,2024-03-14,2025-03-13,0.072,None,Installment,Working Capital
439,2024-03-14,2693,2257949,Deposit,900363.85,JPY,1.1913,1072603.45,SME,Technology,Europe,Japan,Sao Paulo,520,Completed,290,Analyst,0.243,0,Approved,2024-03-15,2025-03-14,0.071,Property,Installment,Business Expansion
440,2024-03-15,3085,8537165,Withdrawal,792399.0,USD,1.4028,1111577.32,SME,Technology,Europe,Brazil,Tokyo,368,Pending,200,Manager,0.085,1,Approved,2024-03-16,2025-03-15,0.084,Bonds,Installment,Equipment Purchase
441,2024-03-16,3277,4850241,Deposit,676684.71,EUR,1.3504,913795.03,Retail,Technology,South America,Brazil,Sao Paulo,580,Completed,584,Analyst,0.535,0,Pending,2024-03-17,2025-03-16,0.095,None,Long-term,Debt Refinancing
442,2024-03-17,4436,6538166,Deposit,679953.55,GBP,0.9143,621681.53,Retail,Healthcare,Asia,Brazil,Sao Paulo,810,Failed,384,Analyst,0.888,1,Rejected,2024-03-18,2025-03-17,0.069,Stocks,Short-term,Equipment Purchase
443,2024-03-18,1562,1388076,Withdrawal,945978.72,EUR,0.6124,579317.37,Retail,Finance,North America,USA,New York,835,Failed,832,Analyst,0.515,1,Approved,2024-03-19,2025-03-18,0.053,Bonds,Revolving,Working Capital
444,2024-03-19,3485,5884797,Transfer,296528.27,EUR,0.5756,170681.67,Retail,Finance,Asia,Brazil,Tokyo,362,Completed,489,Manager,0.739,0,Rejected,2024-03-20,2025-03-19,0.039,Bonds,Short-term,Business Expansion
445,2024-03-20,2799,6540070,Deposit,2110.98,JPY,1.0771,2273.74,Retail,Manufacturing,South America,Brazil,New York,525,Failed,664,Director,0.298,0,Rejected,2024-03-21,2025-03-20,0.042,Property,Revolving,Working Capital
446,2024-03-21,4354,7491878,Deposit,272682.6,USD,1.1426,311567.14,Retail,Manufacturing,Europe,Germany,Tokyo,265,Completed,259,Manager,0.448,1,Approved,2024-03-22,2025-03-21,0.04,Stocks,Short-term,Equipment Purchase
447,2024-03-22,3074,2960826,Deposit,218673.49,GBP,1.3498,295165.48,Corporate,Healthcare,Europe,Japan,Berlin,791,Failed,991,Director,0.325,1,Rejected,2024-03-23,2025-03-22,0.039,Stocks,Revolving,Debt Refinancing
448,2024-03-23,1225,3844664,Deposit,662172.75,EUR,0.7925,524771.9,SME,Finance,North America,Brazil,Tokyo,527,Pending,653,Manager,0.109,1,Pending,2024-03-24,2025-03-23,0.073,Stocks,Installment,Equipment Purchase
449,2024-03-24,4348,3613275,Withdrawal,634077.89,USD,0.6675,423246.99,Retail,Technology,North America,Brazil,Tokyo,803,Pending,146,Associate,0.417,0,Approved,2024-03-25,2025-03-24,0.063,Bonds,Short-term,Debt Refinancing
450,2024-03-25,1797,2378369,Withdrawal,593867.92,USD,0.879,522009.9,Corporate,Technology,Asia,Japan,New York,496,Completed,258,Associate,0.764,0,Approved,2024-03-26,2025-03-25,0.028,Stocks,Short-term,Business Expansion
451,2024-03-26,4680,3090212,Payment,17227.2,EUR,0.8536,14705.14,SME,Manufacturing,Asia,Japan,Tokyo,315,Completed,545,Manager,0.395,1,Rejected,2024-03-27,2025-03-26,0.097,None,Revolving,Working Capital
452,2024-03-27,3331,6230852,Payment,729049.28,USD,0.6325,461123.67,Retail,Finance,North America,USA,Tokyo,895,Completed,795,Associate,0.65,1,Approved,2024-03-28,2025-03-27,0.048,Stocks,Revolving,Working Capital
453,2024-03-28,3926,5171774,Deposit,324206.88,EUR,1.1723,380067.73,Retail,Manufacturing,South America,USA,New York,963,Completed,857,Associate,0.759,1,Approved,2024-03-29,2025-03-28,0.061,Bonds,Long-term,Business Expansion
454,2024-03-29,1959,1152999,Transfer,665390.93,EUR,1.0087,671179.83,Corporate,Manufacturing,Asia,USA,Berlin,206,Completed,622,Associate,0.323,0,Rejected,2024-03-30,2025-03-29,0.073,Stocks,Installment,Equipment Purchase
455,2024-03-30,2504,5542923,Deposit,557021.85,EUR,1.2211,680179.38,SME,Technology,Europe,Japan,Berlin,197,Failed,765,Associate,0.798,1,Rejected,2024-03-31,2025-03-30,0.065,Stocks,Installment,Business Expansion
456,2024-03-31,1452,9449975,Transfer,343388.19,GBP,0.8527,292807.11,Retail,Technology,Europe,Germany,Berlin,979,Pending,831,Director,0.339,1,Approved,2024-04-01,2025-03-31,0.038,Bonds,Long-term,Working Capital
457,2024-04-01,4067,5600108,Deposit,135441.69,EUR,0.8257,111834.2,SME,Finance,South America,Brazil,Tokyo,581,Failed,254,Analyst,0.256,0,Approved,2024-04-02,2025-04-01,0.082,Stocks,Revolving,Debt Refinancing
458,2024-04-02,4900,3854190,Payment,95324.48,JPY,0.9726,92712.59,Corporate,Manufacturing,North America,Japan,New York,598,Pending,438,Director,0.222,1,Pending,2024-04-03,2025-04-02,0.02,Property,Installment,Working Capital
459,2024-04-03,1815,2284382,Payment,831686.81,USD,1.3774,1145565.41,Retail,Healthcare,Asia,Germany,Berlin,329,Failed,464,Analyst,0.2,1,Pending,2024-04-04,2025-04-03,0.061,Bonds,Revolving,Equipment Purchase
460,2024-04-04,1658,8196042,Transfer,918479.14,GBP,0.5403,496254.28,SME,Finance,Europe,Japan,Berlin,356,Failed,894,Analyst,0.737,0,Approved,2024-04-05,2025-04-04,0.035,Stocks,Installment,Debt Refinancing
461,2024-04-05,4587,4853321,Deposit,650138.26,USD,1.3048,848300.4,Corporate,Manufacturing,North America,Germany,Berlin,142,Failed,798,Manager,0.888,0,Approved,2024-04-06,2025-04-05,0.065,Property,Short-term,Equipment Purchase
462,2024-04-06,1546,3654837,Transfer,104330.68,GBP,0.869,90663.36,Corporate,Finance,Asia,Japan,Berlin,341,Completed,673,Manager,0.231,1,Pending,2024-04-07,2025-04-06,0.03,None,Short-term,Working Capital
463,2024-04-07,2215,8684365,Payment,402625.19,JPY,1.3546,545396.08,Retail,Finance,South America,Japan,New York,653,Pending,247,Manager,0.085,0,Rejected,2024-04-08,2025-04-07,0.079,Bonds,Installment,Working Capital
464,2024-04-08,4120,2042377,Deposit,729210.26,GBP,1.3022,949577.6,SME,Finance,Europe,Germany,Berlin,194,Completed,998,Manager,0.314,0,Approved,2024-04-09,2025-04-08,0.03,Stocks,Installment,Debt Refinancing
465,2024-04-09,4583,5577033,Deposit,780041.06,GBP,0.8488,662098.85,Retail,Healthcare,South America,Germany,Tokyo,865,Completed,243,Manager,0.658,0,Pending,2024-04-10,2025-04-09,0.09,Bonds,Installment,Equipment Purchase
466,2024-04-10,1016,7105931,Transfer,119100.4,GBP,1.1939,142193.97,Retail,Healthcare,South America,Germany,Tokyo,287,Failed,202,Director,0.369,0,Pending,2024-04-11,2025-04-10,0.088,Property,Long-term,Debt Refinancing
467,2024-04-11,4243,4257181,Withdrawal,1030.69,USD,0.6596,679.84,SME,Technology,South America,Germany,New York,484,Pending,911,Director,0.549,0,Approved,2024-04-12,2025-04-11,0.043,Bonds,Installment,Debt Refinancing
468,2024-04-12,2243,6262696,Transfer,712424.91,EUR,1.3963,994758.9,SME,Technology,Asia,Germany,Sao Paulo,918,Pending,192,Associate,0.744,0,Approved,2024-04-13,2025-04-12,0.045,None,Long-term,Equipment Purchase
469,2024-04-13,3205,6154048,Payment,357239.58,USD,0.9045,323123.2,SME,Manufacturing,South America,Germany,Berlin,499,Pending,385,Director,0.408,0,Pending,2024-04-14,2025-04-13,0.073,Stocks,Long-term,Debt Refinancing
470,2024-04-14,3524,1923780,Payment,255226.85,EUR,0.9556,243894.78,Corporate,Finance,Asia,Germany,Berlin,605,Pending,523,Director,1.0,1,Approved,2024-04-15,2025-04-14,0.018,None,Short-term,Business Expansion
471,2024-04-15,2069,9361735,Payment,13884.57,USD,1.2058,16742.01,Corporate,Manufacturing,Asia,Germany,Tokyo,266,Completed,218,Manager,0.298,0,Rejected,2024-04-16,2025-04-15,0.017,Property,Installment,Debt Refinancing
472,2024-04-16,4444,2942811,Payment,540759.11,JPY,1.3208,714234.63,SME,Technology,South America,Japan,New York,882,Completed,128,Associate,0.978,0,Approved,2024-04-17,2025-04-16,0.022,Bonds,Short-term,Working Capital
473,2024-04-17,3565,7507640,Payment,851299.58,JPY,0.7363,626811.88,Corporate,Healthcare,South America,Germany,Sao Paulo,224,Pending,610,Director,0.203,0,Pending,2024-04-18,2025-04-17,0.061,Stocks,Short-term,Equipment Purchase
474,2024-04-18,3146,1298090,Withdrawal,957674.01,GBP,1.1614,1112242.6,Retail,Technology,North America,Germany,Tokyo,772,Completed,129,Director,0.111,0,Pending,2024-04-19,2025-04-18,0.023,Stocks,Long-term,Working Capital
475,2024-04-19,4963,9705956,Deposit,566179.21,JPY,0.892,505031.86,SME,Manufacturing,Europe,Japan,Sao Paulo,186,Pending,971,Associate,0.751,1,Approved,2024-04-20,2025-04-19,0.035,Property,Revolving,Business Expansion
476,2024-04-20,2768,6425838,Transfer,514946.87,GBP,0.8687,447334.35,Retail,Technology,North America,Japan,New York,920,Completed,465,Analyst,0.702,1,Pending,2024-04-21,2025-04-20,0.068,Property,Long-term,Business Expansion
477,2024-04-21,2060,9480932,Transfer,85971.33,EUR,1.19,102305.88,SME,Manufacturing,Europe,USA,New York,588,Failed,899,Manager,0.811,0,Rejected,2024-04-22,2025-04-21,0.011,Bonds,Short-term,Debt Refinancing
478,2024-04-22,3327,3320688,Payment,549323.93,JPY,0.8872,487360.19,Retail,Manufacturing,Europe,USA,New York,325,Failed,237,Director,0.344,1,Approved,2024-04-23,2025-04-22,0.026,Stocks,Long-term,Working Capital
479,2024-04-23,4420,2805808,Transfer,380599.1,EUR,0.8461,322024.9,SME,Manufacturing,North America,Germany,Tokyo,756,Pending,574,Director,0.931,1,Approved,2024-04-24,2025-04-23,0.094,Property,Long-term,Debt Refinancing
480,2024-04-24,3544,5220459,Payment,607528.15,USD,1.3359,811596.86,Retail,Manufacturing,North America,Germany,New York,444,Pending,662,Associate,0.119,1,Pending,2024-04-25,2025-04-24,0.07,Stocks,Long-term,Debt Refinancing
481,2024-04-25,1301,5536119,Withdrawal,389337.62,EUR,0.6013,234108.71,SME,Technology,Europe,USA,Tokyo,859,Completed,491,Director,0.03,1,Rejected,2024-04-26,2025-04-25,0.037,Bonds,Installment,Working Capital
482,2024-04-26,1180,5015470,Withdrawal,241058.82,USD,1.1759,283461.07,SME,Manufacturing,Europe,USA,Tokyo,973,Pending,534,Manager,0.301,1,Approved,2024-04-27,2025-04-26,0.014,None,Long-term,Business Expansion
483,2024-04-27,1606,5654798,Deposit,95870.31,EUR,0.7487,71778.1,Corporate,Manufacturing,Europe,Brazil,Berlin,617,Pending,903,Director,0.797,0,Pending,2024-04-28,2025-04-27,0.063,Property,Short-term,Business Expansion
484,2024-04-28,4170,4622138,Withdrawal,315603.53,EUR,0.5155,162693.62,Retail,Finance,Asia,Brazil,Tokyo,130,Completed,333,Analyst,0.673,0,Approved,2024-04-29,2025-04-28,0.03,Bonds,Long-term,Business Expansion
485,2024-04-29,1699,1937841,Withdrawal,97548.19,JPY,0.6668,65045.13,Corporate,Manufacturing,Europe,Germany,Tokyo,808,Pending,154,Manager,0.436,0,Rejected,2024-04-30,2025-04-29,0.096,None,Installment,Equipment Purchase
486,2024-04-30,1992,9061896,Deposit,177720.05,EUR,1.1067,196682.78,Retail,Technology,South America,Brazil,Berlin,843,Pending,391,Analyst,0.256,1,Pending,2024-05-01,2025-04-30,0.072,Bonds,Short-term,Equipment Purchase
487,2024-05-01,2139,3843940,Transfer,987348.82,JPY,1.2091,1193803.46,Corporate,Manufacturing,South America,USA,Sao Paulo,395,Failed,851,Associate,0.059,0,Approved,2024-05-02,2025-05-01,0.098,Property,Long-term,Debt Refinancing
488,2024-05-02,1190,4932441,Payment,444659.45,JPY,0.5211,231712.04,SME,Healthcare,South America,Germany,Berlin,513,Failed,411,Manager,0.338,1,Pending,2024-05-03,2025-05-02,0.086,Bonds,Short-term,Equipment Purchase
489,2024-05-03,3300,2207068,Payment,532339.89,GBP,0.5364,285547.12,Corporate,Healthcare,North America,Japan,Berlin,936,Failed,647,Director,0.46,0,Pending,2024-05-04,2025-05-03,0.053,Stocks,Installment,Equipment Purchase
490,2024-05-04,1980,5364406,Transfer,873744.91,GBP,1.4025,1225427.24,Corporate,Manufacturing,North America,Japan,New York,234,Pending,188,Manager,0.687,0,Rejected,2024-05-05,2025-05-04,0.07,Property,Revolving,Working Capital
491,2024-05-05,3975,9782882,Deposit,995573.33,USD,0.5733,570762.19,SME,Healthcare,North America,USA,New York,624,Completed,311,Manager,0.646,0,Rejected,2024-05-06,2025-05-05,0.083,Stocks,Installment,Debt Refinancing
492,2024-05-06,3006,2386980,Transfer,583131.73,EUR,1.3942,813002.26,Corporate,Healthcare,Europe,Brazil,Berlin,103,Failed,417,Manager,0.947,0,Approved,2024-05-07,2025-05-06,0.062,Bonds,Installment,Debt Refinancing
493,2024-05-07,2184,2208052,Withdrawal,812661.35,USD,0.7282,591780.0,SME,Technology,South America,Japan,New York,277,Pending,976,Analyst,0.1,1,Pending,2024-05-08,2025-05-07,0.016,Property,Short-term,Working Capital
494,2024-05-08,4327,8500960,Deposit,327614.08,EUR,1.24,406241.46,Retail,Finance,Europe,Brazil,Berlin,845,Failed,856,Associate,0.336,0,Pending,2024-05-09,2025-05-08,0.052,Stocks,Short-term,Business Expansion
495,2024-05-09,4394,4040267,Deposit,306438.21,GBP,0.8097,248123.02,Corporate,Healthcare,Asia,Japan,New York,358,Completed,564,Manager,0.482,0,Pending,2024-05-10,2025-05-09,0.022,Stocks,Revolving,Working Capital
496,2024-05-10,1127,2180887,Deposit,403301.02,GBP,1.3588,548005.43,SME,Healthcare,Asia,Brazil,Tokyo,751,Completed,186,Director,0.671,1,Approved,2024-05-11,2025-05-10,0.074,Stocks,Revolving,Business Expansion
497,2024-05-11,3065,5439850,Payment,672834.76,EUR,1.2005,807738.13,SME,Finance,North America,Japan,New York,164,Completed,508,Manager,0.495,1,Rejected,2024-05-12,2025-05-11,0.071,None,Revolving,Debt Refinancing
498,2024-05-12,2816,8536765,Transfer,682509.5,EUR,0.9018,615487.07,Corporate,Finance,Asia,Japan,New York,894,Completed,339,Manager,0.913,0,Rejected,2024-05-13,2025-05-12,0.099,Stocks,Installment,Debt Refinancing
499,2024-05-13,2758,2896220,Deposit,315924.2,GBP,0.5763,182067.12,Retail,Healthcare,South America,Germany,Tokyo,462,Completed,931,Associate,0.609,0,Pending,2024-05-14,2025-05-13,0.067,Stocks,Installment,Equipment Purchase
